DHT_ST4;;;
Kommentar einf�gen;;;
Date and Time;Batch Age;I: TempK;I: Druck X
DDD MMM D HH:MM:SS JJJJ;h;ﾰC;mbar
Fri Sep 30 02:29:43 2016;0,919444;25;1209,48
Fri Sep 30 02:29:48 2016;0,920833;23;1209,02
Fri Sep 30 02:29:53 2016;0,922222;27;1208,56
Fri Sep 30 02:29:58 2016;0,923611;25;1209,17
Fri Sep 30 02:30:03 2016;0,925;23;1208,87
Fri Sep 30 02:30:08 2016;0,926389;25;1210,85
Fri Sep 30 02:30:13 2016;0,927778;26;1211,31
Fri Sep 30 02:30:18 2016;0,929167;26;1209,02
Fri Sep 30 02:30:23 2016;0,930556;24;1209,78
Fri Sep 30 02:30:28 2016;0,931944;27;1211,16
Fri Sep 30 02:30:33 2016;0,933333;23;1211,62
Fri Sep 30 02:30:38 2016;0,934722;24;1209,02
Fri Sep 30 02:30:43 2016;0,936111;24;1208,56
Fri Sep 30 02:30:48 2016;0,9375;25;1208,72
Fri Sep 30 02:30:53 2016;0,938889;26;1208,87
Fri Sep 30 02:30:58 2016;0,940278;23;1209,48
Fri Sep 30 02:31:03 2016;0,941667;23;1208,11
Fri Sep 30 02:31:08 2016;0,943056;27;1208,87
Fri Sep 30 02:31:13 2016;0,944444;25;1209,48
Fri Sep 30 02:31:18 2016;0,945833;24;1208,87
Fri Sep 30 02:31:23 2016;0,947222;26;1208,41
Fri Sep 30 02:31:28 2016;0,948611;27;1208,56
Fri Sep 30 02:31:33 2016;0,95;24;1208,56
Fri Sep 30 02:31:38 2016;0,951389;23;1209,17
